idsubsls;idsls;kdprov;kdkab;kdkec;kddesa;kdsls;kdsubsls;nmprov;nmkab;nmkec;nmdesa;nmsls;centroid_y;centroid_x
6.40101E+15;6.40101E+13;64;1;11;2;2;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;RANTAU ATAS;RT 002;-2.14944;115.847677
6.40101E+15;6.40101E+13;64;1;11;2;3;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;RANTAU ATAS;RT 003;-2.13009;115.999915
6.40101E+15;6.40101E+13;64;1;11;2;4;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;RANTAU ATAS;RT 004;-2.13872;115.970166
6.40101E+15;6.40101E+13;64;1;11;2;5;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;RANTAU ATAS;RT 005;-2.13069;115.886444
6.40101E+15;6.40101E+13;64;1;11;3;1;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;LIBUR DINDING;RT 001;-2.06157;115.904723
6.40101E+15;6.40101E+13;64;1;11;3;2;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;LIBUR DINDING;RT 002;-2.09858;115.872505
6.40101E+15;6.40101E+13;64;1;11;3;3;1;KALIMANTAN TIMUR;PASER;MUARA SAMU;LIBUR DINDING;RT 003;-2.08856;115.937843
6.40101E+15;6.40101E+13;64;1;11;3;3;2;KALIMANTAN TIMUR;PASER;MUARA SAMU;LIBUR DINDING;RT 003;-2.09609;115.982784
6.40101E+15;6.40101E+13;64;1;11;4;1;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;LUAN/DILIBINTI;RT 001;-1.93762;115.985412
6.40101E+15;6.40101E+13;64;1;11;4;2;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;LUAN/DILIBINTI;RT 002;-1.97882;116.00816
6.40101E+15;6.40101E+13;64;1;11;5;1;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;SUWETO;RT 001;-1.96759;115.959189
6.40101E+15;6.40101E+13;64;1;11;5;2;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;SUWETO;RT 002;-1.9936;115.959984
6.40101E+15;6.40101E+13;64;1;11;5;3;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;SUWETO;RT 003;-1.99444;115.959072
6.40101E+15;6.40101E+13;64;1;11;5;4;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;SUWETO;RT 004;-1.99555;115.960898
6.40101E+15;6.40101E+13;64;1;11;5;5;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;SUWETO;RT 005;-1.99608;115.958363
6.40101E+15;6.40101E+13;64;1;11;5;6;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;SUWETO;RT 006;-1.99683;115.957311
6.40101E+15;6.40101E+13;64;1;11;5;7;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;SUWETO;RT 007;-1.99754;115.957684
6.40101E+15;6.40101E+13;64;1;11;5;8;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;SUWETO;RT 008;-1.99755;115.962777
6.40101E+15;6.40101E+13;64;1;11;5;9;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;SUWETO;RT 009;-2.0002;115.95932
6.40101E+15;6.40101E+13;64;1;11;5;2001;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;SUWETO;HUTAN;-2.02131;115.993547
6.40101E+15;6.40101E+13;64;1;11;5;2002;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;SUWETO;HUTAN;-1.99352;115.951244
6.40101E+15;6.40101E+13;64;1;11;6;1;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;MUSER;RT 001;-2.01716;115.939495
6.40101E+15;6.40101E+13;64;1;11;6;2;0;KALIMANTAN TIMUR;PASER;MUARA SAMU;MUSER;RT 002;-2.01995;115.937967
6.40101E+15;6.40101E+13;64;1;11;6;3;1;KALIMANTAN TIMUR;PASER;MUARA SAMU;MUSER;RT 003;-2.01513;115.932633
